Seconds,Battery Voltage (V),ON/OFF
Switchoff Voltage = 980mV
6615,5.57,1
6620,5.59,1
6625,5.59,1
6630,5.58,1
6635,5.61,1
6640,5.6,1
6645,5.61,1
6650,5.6,1
6655,5.59,1
6660,5.6,1
6665,5.6,1
6670,5.59,1
6675,5.6,1
6680,5.6,1
6685,5.58,1
6690,5.58,1
6695,5.58,1
6700,5.58,1
6705,5.59,1
6710,5.59,1
6715,5.57,1
6720,5.57,1
6725,5.6,1
6730,5.58,1
6735,5.61,1
6740,5.58,1
6745,5.59,1
6750,5.56,1
6755,5.59,1
6760,5.58,1
6765,5.59,1
6770,5.6,1
6775,5.6,1
6780,5.55,1
6785,5.59,1
6790,5.59,1
6795,5.6,1
6800,5.59,1
6805,5.58,1
6810,5.59,1
6815,5.58,1
6820,5.59,1
6825,5.58,1
6830,5.58,1
6835,5.58,1
6840,5.59,1
6845,5.58,1
6850,5.58,1
6855,5.58,1
6860,5.6,1
6865,5.59,1
6870,5.59,1
6875,5.6,1
6880,5.57,1
6885,5.58,1
6890,5.58,1
6895,5.6,1
6900,5.58,1
6905,5.57,1
6910,5.59,1
6915,5.57,1
6920,5.61,1
6925,5.59,1
6930,5.58,1
6935,5.58,1
6940,5.58,1
6945,5.59,1
6950,5.58,1
6955,5.58,1
6960,5.57,1
6965,5.57,1
6970,5.57,1
6975,5.57,1
6980,5.58,1
6985,5.57,1
6990,5.57,1
6995,5.56,1
7000,5.57,1
7005,5.58,1
7010,5.57,1
7015,5.59,1
7020,5.57,1
7025,5.57,1
7030,5.58,1
7035,5.57,1
7040,5.59,1
7045,5.6,1
7050,5.58,1
7055,5.58,1
7060,5.57,1
7065,5.57,1
7070,5.58,1
7075,5.59,1
7080,5.58,1
7085,5.57,1
7090,5.57,1
7095,5.57,1
7100,5.57,1
7105,5.58,1
7110,5.58,1
7115,5.58,1
7120,5.57,1
7125,5.56,1
7130,5.57,1
7135,5.57,1
7140,5.59,1
7145,5.56,1
7150,5.57,1
7155,5.59,1
7160,5.57,1
7165,5.57,1
7170,5.57,1
7175,5.56,1
7180,5.58,1
7185,5.57,1
7190,5.56,1
7195,5.57,1
7200,5.57,1
7205,5.57,1
7210,5.57,1
7215,5.55,1
7220,5.57,1
7225,5.55,1
7230,5.57,1
7235,5.57,1
7240,5.57,1
7245,5.55,1
7250,5.58,1
7255,5.57,1
7260,5.57,1
7265,5.56,1
7270,5.56,1
7275,5.56,1
7280,5.57,1
7285,5.56,1
7290,5.57,1
7295,5.56,1
7300,5.56,1
7305,5.55,1
7310,5.56,1
7315,5.55,1
7320,5.57,1
7325,5.55,1
7330,5.57,1
7335,5.56,1
7340,5.57,1
7345,5.56,1
7350,5.58,1
7355,5.56,1
7360,5.59,1
7365,5.57,1
7370,5.56,1
7375,5.56,1
7380,5.58,1
7385,5.55,1
7390,5.56,1
7395,5.55,1
7400,5.54,1
7405,5.57,1
7410,5.56,1
7415,5.55,1
7420,5.56,1
7425,5.57,1
7430,5.57,1
7435,5.57,1
7440,5.56,1
7445,5.56,1
7450,5.56,1
7455,5.54,1
7460,5.58,1
7465,5.55,1
7470,5.57,1
7475,5.57,1
7480,5.54,1
7485,5.54,1
7490,5.54,1
7495,5.56,1
7500,5.57,1
7505,5.57,1
7510,5.56,1
7515,5.55,1
7520,5.57,1
7525,5.57,1
7530,5.54,1
7535,5.55,1
7540,5.58,1
7545,5.57,1
7550,5.58,1
7555,5.57,1
7560,5.56,1
7565,5.57,1
7570,5.53,1
7575,5.55,1
7580,5.54,1
7585,5.56,1
7590,5.54,1
7595,5.55,1
7600,5.55,1
7605,5.54,1
7610,5.57,1
7615,5.55,1
7620,5.55,1
7625,5.57,1
7630,5.56,1
7635,5.57,1
7640,5.55,1
7645,5.56,1
7650,5.56,1
7655,5.58,1
7660,5.55,1
7665,5.56,1
7670,5.56,1
7675,5.55,1
7680,5.57,1
7685,5.57,1
7690,5.56,1
7695,5.55,1
7700,5.56,1
7705,5.54,1
7710,5.55,1
7715,5.57,1
7720,5.57,1
7725,5.55,1
7730,5.56,1
7735,5.55,1
7740,5.56,1
7745,5.56,1
7750,5.53,1
7755,5.55,1
7760,5.55,1
7765,5.55,1
7770,5.56,1
7775,5.56,1
7780,5.55,1
7785,5.55,1
